Level,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,Module Name,
0,"Mufasa.exe",950,0,"100,00","0,00","",
0,"[MSCOREE.DLL]",691,0,"72,74","0,00","MSCOREE.DLL",
1,"Unknown",691,0,"72,74","0,00","[Unknown]",
2,"[mscoreei.dll]",516,0,"54,32","0,00","mscoreei.dll",
3,"[clr.dll]",516,0,"54,32","0,00","clr.dll",
4,"[clr.dll]",516,0,"54,32","0,00","clr.dll",
5,"[clr.dll]",516,0,"54,32","0,00","clr.dll",
6,"[clr.dll]",516,0,"54,32","0,00","clr.dll",
7,"[clr.dll]",516,0,"54,32","0,00","clr.dll",
8,"[clr.dll]",516,0,"54,32","0,00","clr.dll",
9,"[clr.dll]",516,0,"54,32","0,00","clr.dll",
10,"[clr.dll]",516,0,"54,32","0,00","clr.dll",
11,"[clr.dll]",516,0,"54,32","0,00","clr.dll",
12,"Mufasa.App.Main()",516,0,"54,32","0,00","Mufasa.exe",
13,"System.Windows.Application.Run()",516,0,"54,32","0,00","PresentationFramework.dll",
14,"System.Windows.Application.Run(class System.Windows.Window)",516,0,"54,32","0,00","PresentationFramework.dll",
15,"System.Windows.Application.RunInternal(class System.Windows.Window)",516,0,"54,32","0,00","PresentationFramework.dll",
16,"System.Windows.Application.RunDispatcher(object)",516,0,"54,32","0,00","PresentationFramework.dll",
17,"System.Windows.Threading.Dispatcher.Run()",516,0,"54,32","0,00","WindowsBase.dll",
18,"System.Windows.Threading.Dispatcher.PushFrame(class System.Windows.Threading.DispatcherFrame)",516,0,"54,32","0,00","WindowsBase.dll",
19,"System.Windows.Threading.Dispatcher.PushFrameImpl(class System.Windows.Threading.DispatcherFrame)",516,0,"54,32","0,00","WindowsBase.dll",
20,"[WindowsBase.dll]",432,1,"45,47","0,11","WindowsBase.dll",
21,"[USER32.dll]",431,0,"45,37","0,00","USER32.dll",
22,"[USER32.dll]",431,0,"45,37","0,00","USER32.dll",
23,"[USER32.dll]",431,0,"45,37","0,00","USER32.dll",
24,"[USER32.dll]",431,0,"45,37","0,00","USER32.dll",
25,"[Unknown]",431,0,"45,37","0,00","[Unknown]",
26,"MS.Win32.HwndSubclass.SubclassWndProc(native int,int32,native int,native int)",431,0,"45,37","0,00","WindowsBase.dll",
27,"System.Windows.Threading.Dispatcher.LegacyInvokeImpl(valuetype System.Windows.Threading.DispatcherPriority,valuetype System.TimeSpan,class System.Delegate,object,int32)",425,0,"44,74","0,00","WindowsBase.dll",
28,"MS.Internal.Threading.ExceptionFilterHelper.TryCatchWhen(object,class System.Delegate,object,int32,class System.Delegate)",423,0,"44,53","0,00","WindowsBase.dll",
29,"System.Windows.Threading.ExceptionWrapper.InternalRealCall(class System.Delegate,object,int32)",423,0,"44,53","0,00","WindowsBase.dll",
30,"MS.Win32.HwndSubclass.DispatcherCallbackOperation(object)",423,1,"44,53","0,11","WindowsBase.dll",
