Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Root","[ADVAPI32.dll]","[ADVAPI32.dll]",2,0,"0,21","0,00",
"Caller","[ADVAPI32.dll]","[FirewallAPI.dll]",2,0,"0,21","0,00",
"Callee","[ADVAPI32.dll]","[sechost.dll]",2,0,"0,21","0,00",
"Root","[apphelp.dll]","[apphelp.dll]",11,5,"1,16","0,53",
"Caller","[apphelp.dll]","[apphelp.dll]",11,5,"1,16","0,53",
"Caller","[apphelp.dll]","[Unknown]",11,0,"1,16","0,00",
"Callee","[apphelp.dll]","[apphelp.dll]",11,5,"1,16","0,53",
"Callee","[apphelp.dll]","[ntdll.dll]",6,6,"0,63","0,63",
"Root","[browcli.dll]","[browcli.dll]",1,0,"0,11","0,00",
"Caller","[browcli.dll]","[browcli.dll]",1,0,"0,11","0,00",
"Caller","[browcli.dll]","[ntlanman.dll]",1,0,"0,11","0,00",
"Callee","[browcli.dll]","[browcli.dll]",1,0,"0,11","0,00",
"Callee","[browcli.dll]","[sechost.dll]",1,0,"0,11","0,00",
"Root","[clr.dll]","[clr.dll]",536,148,"56,42","15,58",
"Caller","[clr.dll]","[clr.dll]",536,85,"56,42","8,95",
"Caller","[clr.dll]","[mscoreei.dll]",516,0,"54,32","0,00",
"Caller","[clr.dll]","[mscorlib.dll]",1,0,"0,11","0,00",
"Caller","[clr.dll]","[MSCTF.dll]",1,0,"0,11","0,00",
"Caller","[clr.dll]","[ntdll.dll]",1,0,"0,11","0,00",
"Caller","[clr.dll]","[Unknown]",17,3,"1,79","0,32",
"Caller","[clr.dll]","[WindowsBase.dll]",2,0,"0,21","0,00",
"Caller","[clr.dll]","Bio.Algorithms.MUMmer.MummerDnaAlphabet..ctor()",1,0,"0,11","0,00",
"Caller","[clr.dll]","Bio.AmbiguousDnaAlphabet..ctor()",1,0,"0,11","0,00",
"Caller","[clr.dll]","Bio.DnaAlphabet.<AddNucleotide>b__2(uint8)",1,0,"0,11","0,00",
"Caller","[clr.dll]","Bio.IO.FastA.FastAParser.<Parse>d__0.MoveNext()",1,0,"0,11","0,00",
"Caller","[clr.dll]","Bio.Registration.RegisteredAddIn.GetComposedInstancesFromAssemblyPath(string,string,string)",1,0,"0,11","0,00",
"Caller","[clr.dll]","FirstFloor.ModernUI.Presentation.RelayCommand.OnExecute(object)",1,0,"0,11","0,00",
"Caller","[clr.dll]","MS.Internal.CopyOnWriteList.get_List()",1,1,"0,11","0,11",
"Caller","[clr.dll]","MS.Internal.Text.SimpleLine.GetTextRun(int32)",1,0,"0,11","0,00",
"Caller","[clr.dll]","MS.Internal.UIElementHelper.GetUIParent(class System.Windows.DependencyObject,bool)",2,2,"0,21","0,21",
"Caller","[clr.dll]","MS.Internal.UIElementHelper.IsUIElementOrUIElement3D(class System.Windows.DependencyObject)",3,3,"0,32","0,32",
"Caller","[clr.dll]","MS.Internal.UIElementHelper.IsVisible(class System.Windows.DependencyObject)",1,1,"0,11","0,11",
"Caller","[clr.dll]","MS.Utility.ArrayItemList`1.Add(!0)",1,1,"0,11","0,11",
"Caller","[clr.dll]","MS.Utility.ArrayItemList`1.Clear()",1,1,"0,11","0,11",
"Caller","[clr.dll]","MS.Utility.ArrayItemList`1.EntryAt(int32)",1,1,"0,11","0,11",
"Caller","[clr.dll]","MS.Utility.SingleItemList`1.Add(!0)",1,1,"0,11","0,11",
"Caller","[clr.dll]","Mufasa.BackEnd.Designer.Construct.SaveAsBio(string)",2,0,"0,21","0,00",
"Caller","[clr.dll]","Mufasa.BackEnd.Designer.Designer.ParseFile(string)",59,0,"6,21","0,00",
"Caller","[clr.dll]","Mufasa.BackEnd.Designer.Designer.ParseFragment(class Bio.IO.ISequenceParser,string)",1,0,"0,11","0,00",
"Caller","[clr.dll]","Mufasa.Pages.Design.openFileButton_Click(object,class System.Windows.RoutedEventArgs)",3,0,"0,32","0,00",
"Caller","[clr.dll]","System.__ComObject.ReleaseSelf()",1,0,"0,11","0,00",
"Caller","[clr.dll]","System.Array.Copy(class System.Array,int64,class System.Array,int64,int64)",2,0,"0,21","0,00",
"Caller","[clr.dll]","System.Collections.Hashtable.ContainsKey(object)",1,1,"0,11","0,11",
"Caller","[clr.dll]","System.ComponentModel.Composition.Hosting.ExportProvider.GetExportsCore(string)",1,0,"0,11","0,00",
"Caller","[clr.dll]","System.ComponentModel.Composition.Primitives.ContractBasedImportDefinition.ValidateRequiredMetadata()",1,0,"0,11","0,00",
"Caller","[clr.dll]","System.ComponentModel.Composition.ReflectionModel.ReflectionComposablePartDefinition.get_ExportDefinitionsInternal()",1,0,"0,11","0,00",
