Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"[Unknown]",860,257,"90,53","27,05",
"[clr.dll]",536,148,"56,42","15,58",
"[ntdll.dll]",200,65,"21,05","6,84",
"[DUI70.dll]",70,29,"7,37","3,05",
"[USER32.dll]",601,28,"63,26","2,95",
"[USP10.dll]",23,19,"2,42","2,00",
"[KERNEL32.dll]",75,18,"7,89","1,89",
"[KERNELBASE.dll]",34,16,"3,58","1,68",
"[msvcrt.dll]",15,12,"1,58","1,26",
"MS.Utility.ArrayItemList`1.EntryAt(int32)",11,10,"1,16","1,05",
"System.Windows.Media.Visual.HitTestPoint(class System.Windows.Media.HitTestFilterCallback,class System.Windows.Media.HitTestResultCallback,class System.Windows.Media.PointHitTestParameters)",39,10,"4,11","1,05",
"[SHLWAPI.dll]",59,9,"6,21","0,95",
"System.Windows.DependencyObject.LookupEntry(int32)",9,9,"0,95","0,95",
"[comctl32.dll]",95,8,"10,00","0,84",
"[RPCRT4.dll]",8,8,"0,84","0,84",
"[GDI32.dll]",7,7,"0,74","0,74",
"[WindowsBase.dll]",436,7,"45,89","0,74",
"MS.Utility.FrugalStructList`1.get_Item(int32)",18,7,"1,89","0,74",
"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.MergeWithGlobalList(!0[])",16,7,"1,68","0,74",
"MS.Internal.FontCache.Util.get_Dpi()",7,6,"0,74","0,63",
"System.Reflection.RuntimeMethodInfo.CacheEquals(object)",6,6,"0,63","0,63",
"[apphelp.dll]",11,5,"1,16","0,53",
"[DUser.dll]",74,5,"7,79","0,53",
"[PROPSYS.dll]",18,5,"1,89","0,53",
"System.Windows.DependencyObject.GetValueEntry(valuetype System.Windows.EntryIndex,class System.Windows.DependencyProperty,class System.Windows.PropertyMetadata,valuetype System.Windows.RequestFlags)",21,5,"2,21","0,53",
"[MSVCR110_CLR0400.dll]",4,4,"0,42","0,42",
"[ole32.dll]",23,4,"2,42","0,42",
"System.Collections.Hashtable.ContainsKey(object)",7,4,"0,74","0,42",
"System.Windows.DependencyObject.GetValue(class System.Windows.DependencyProperty)",30,4,"3,16","0,42",
"System.Windows.DependencyObjectType.IsInstanceOfType(class System.Windows.DependencyObject)",4,4,"0,42","0,42",
"System.Windows.DependencyProperty.GetMetadata(class System.Windows.DependencyObjectType)",7,4,"0,74","0,42",
"[explorerframe.dll]",110,3,"11,58","0,32",
"[MSCTF.dll]",4,3,"0,42","0,32",
