Name,Category,Value,
"Is TIP","Collection","False",
"Is Sampling","Collection","True",
"Is Concurrency","Collection","False",
"Is Resource Contention","Collection","False",
"Is Visualizer","Collection","False",
"Is Instrumentation","Collection","False",
"Is Allocation","Collection","False",
"Is 64 Bit","Collection","False",
"Is Managed","Collection","True",
"Is Lifetime","Collection","False",
"Is Unsupported CLR","Collection","False",
"Is DHP Happened","Collection","False",
"Is UMS Application Terminated","Collection","False",
"Is JScript","Collection","False",
"Is Graceful Exit","Collection","True",
"ETL File Signature","ETW","00000000-0000-0000-0000-000000000000",
"Application ETL File","ETW","",
"Kernel ETL File","ETW","",
"Creation Time","General","2014-10-18 05:07:21",
"Size of Buffers","General","65536",
"I/O Buffers","General","514",
"Operating System Major Version","Machine Information","6",
"Operating System Build Number","Machine Information","7601",
"Operating System Minor Version","Machine Information","1",
"Clock Frequency","Machine Information","3093",
"CPU Stepping","Machine Information","9",
"CPU Model","Machine Information","10",
"CPU Family","Machine Information","6",
"CPU Architecture","Machine Information","Intel",
"Machine Name","Machine Information","MONOLIT",
"CPU Type","Machine Information","Intel",
"Number of CPUs","Machine Information","4",
"Counter 0","Performance Counters","TimeStamp Counter",
"Process Highwater","Process","1",
"Total Processes","Process","1",
"Number of Processes","Process","0",
"Maximum Processes","Process","64",
"Samples (Aborted)","Sampling","6",
"Samples (Callback)","Sampling","956",
"Samples (Kernel)","Sampling","2454",
"Samples (Overhead)","Sampling","134",
"Samples (Other)","Sampling","1681",
"Samples (Total)","Sampling","5225",
"Is PageFault Sampling","Sampling","False",
"Is SysCall Sampling","Sampling","False",
"Samples (Application)","Sampling","956",
"Is Performance Counter Sampling","Sampling","False",
"Is Cycle Sampling","Sampling","True",
"Samples (Broken)","Sampling","924",
"Sampling Interval","Sampling","10000000",
"Callbacks (Stack Walks) ","Sampling","950",
"Total Threads","Thread","61",
"Thread Highwater","Thread","58",
"Maximum Threads","Thread","512",
"Number of Threads","Thread","0",
"Major File Version","Version Information","43",
"Version String","Version Information","12.0.21005 x86",
"Build Number","Version Information","21005",
"Minor Product Version","Version Information","0",
"Major Product Version","Version Information","12",
"Minor File Version","Version Information","1",
