Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"Unknown",127,"13,37",0xBAADF00D,0,0,0,0,
"[KERNEL32.dll]",40,"4,21",0x759F336A,0,0,0,0,
"[USP10.dll]",13,"1,37",0x75E57A14,0,0,0,0,
"System.Reflection.RuntimeModule.GetTypes()",13,"1,37",0x6F840AF5,0,0,0,0,
"[DUI70.dll]",12,"1,26",0x6B06979E,0,0,0,0,
"[clr.dll]",11,"1,16",0x706AB4AD,0,0,0,0,
"System.Windows.Media.Visual.HitTestPoint(class System.Windows.Media.HitTestFilterCallback,class System.Windows.Media.HitTestResultCallback,class System.Windows.Media.PointHitTestParameters)",9,"0,95",0x61BE8E46,0,0,0,0,
"[apphelp.dll]",8,"0,84",0x6CB0A7E0,0,0,0,0,
"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.PopulateProperties(valuetype System.RuntimeType/RuntimeTypeCache/Filter,class System.RuntimeType,class System.Collections.Generic.Dictionary`2<string,class System.Collections.Generic.List`1<class System.Reflection.RuntimePropertyInfo>>,bool[],valuetype System.RuntimeType/ListBuilder`1<class System.Reflection.RuntimePropertyInfo>&)",7,"0,74",0x6F7D93B1,0,0,0,0,
"[KERNEL32.dll]",6,"0,63",0x759F389E,0,0,0,0,
"[DUI70.dll]",5,"0,53",0x6B07C47B,0,0,0,0,
"[DUser.dll]",5,"0,53",0x6B103D95,0,0,0,0,
"MS.Win32.HwndSubclass.SubclassWndProc(native int,int32,native int,native int)",5,"0,53",0x6A4EC02D,0,0,0,0,
"System.MulticastDelegate.GetInvocationList()",5,"0,53",0x6F7D90B5,0,0,0,0,
"System.Reflection.RuntimeMethodInfo.CacheEquals(object)",5,"0,53",0x6F85BB20,0,0,0,0,
"[comctl32.dll]",4,"0,42",0x6DD2FE70,0,0,0,0,
"[comdlg32.dll]",4,"0,42",0x76B7597B,0,0,0,0,
"[DUI70.dll]",4,"0,42",0x6B070C64,0,0,0,0,
"[explorerframe.dll]",4,"0,42",0x6ACB41A5,0,0,0,0,
"[KERNEL32.dll]",4,"0,42",0x759F1F9C,0,0,0,0,
"[ntdll.dll]",4,"0,42",0x7784E0F2,0,0,0,0,
"[ntdll.dll]",4,"0,42",0x77875695,0,0,0,0,
"[USP10.dll]",4,"0,42",0x75E57A01,0,0,0,0,
"System.MulticastDelegate.GetInvocationList()",4,"0,42",0x6F7D90F4,0,0,0,0,
"[DUI70.dll]",3,"0,32",0x6B090A39,0,0,0,0,
"[KERNEL32.dll]",3,"0,32",0x759F135D,0,0,0,0,
"[KERNEL32.dll]",3,"0,32",0x759F22D2,0,0,0,0,
"[KERNELBASE.dll]",3,"0,32",0x75726A5D,0,0,0,0,
"[KERNELBASE.dll]",3,"0,32",0x75742ECB,0,0,0,0,
"[ntdll.dll]",3,"0,32",0x7783010A,0,0,0,0,
"[ntdll.dll]",3,"0,32",0x778422D7,0,0,0,0,
"[ntdll.dll]",3,"0,32",0x778625DF,0,0,0,0,
"[RPCRT4.dll]",3,"0,32",0x75BC011D,0,0,0,0,
"MS.Internal.UIElementHelper.IsUIElementOrUIElement3D(class System.Windows.DependencyObject)",3,"0,32",0x61BE543F,0,0,0,0,
"MS.Utility.ArrayItemList`1.EntryAt(int32)",3,"0,32",0x61B996F4,0,0,0,0,
"MS.Utility.ArrayItemList`1.EntryAt(int32)",3,"0,32",0x61B9970E,0,0,0,0,
"MS.Utility.FrugalStructList`1.get_Item(int32)",3,"0,32",0x61B996E3,0,0,0,0,
"System.Windows.DependencyProperty.GetMetadata(class System.Windows.DependencyObjectType)",3,"0,32",0x6A4F064D,0,0,0,0,
"System.Windows.PropertyMetadata.get_DefaultValue()",3,"0,32",0x6A4ED8E3,0,0,0,0,
"[comctl32.dll]",2,"0,21",0x6DD2F490,0,0,0,0,
"[DUser.dll]",2,"0,21",0x6B0F1757,0,0,0,0,
