Function Name,Exclusive Samples,Exclusive Samples %,Inclusive Samples,Inclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"Unknown",127,"13,37",924,"97,26",0,0,0,0,
"[KERNEL32.dll]",66,"6,95",75,"7,89",0,0,0,0,
"[Unknown]",53,"5,58",860,"90,53",0,0,0,0,
"[ntdll.dll]",43,"4,53",200,"21,05",0,0,0,0,
"[DUI70.dll]",28,"2,95",70,"7,37",0,0,0,0,
"[USP10.dll]",19,"2,00",23,"2,42",0,0,0,0,
"[KERNELBASE.dll]",18,"1,89",34,"3,58",0,0,0,0,
"[SHLWAPI.dll]",16,"1,68",59,"6,21",0,0,0,0,
"[clr.dll]",14,"1,47",536,"56,42",0,0,0,0,
"[DUser.dll]",14,"1,47",74,"7,79",0,0,0,0,
"[msvcrt.dll]",13,"1,37",15,"1,58",0,0,0,0,
"System.Reflection.RuntimeModule.GetTypes()",13,"1,37",13,"1,37",0,0,0,0,
"[comctl32.dll]",12,"1,26",95,"10,00",0,0,0,0,
"System.MulticastDelegate.GetInvocationList()",12,"1,26",12,"1,26",0,0,0,0,
"[ole32.dll]",11,"1,16",23,"2,42",0,0,0,0,
"MS.Utility.ArrayItemList`1.EntryAt(int32)",11,"1,16",11,"1,16",0,0,0,0,
"System.Windows.Media.Visual.HitTestPoint(class System.Windows.Media.HitTestFilterCallback,class System.Windows.Media.HitTestResultCallback,class System.Windows.Media.PointHitTestParameters)",10,"1,05",39,"4,11",0,0,0,0,
"[explorerframe.dll]",9,"0,95",110,"11,58",0,0,0,0,
"System.Windows.DependencyObject.LookupEntry(int32)",9,"0,95",9,"0,95",0,0,0,0,
"[apphelp.dll]",8,"0,84",11,"1,16",0,0,0,0,
"[RPCRT4.dll]",8,"0,84",8,"0,84",0,0,0,0,
"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.PopulateProperties(valuetype System.RuntimeType/RuntimeTypeCache/Filter,class System.RuntimeType,class System.Collections.Generic.Dictionary`2<string,class System.Collections.Generic.List`1<class System.Reflection.RuntimePropertyInfo>>,bool[],valuetype System.RuntimeType/ListBuilder`1<class System.Reflection.RuntimePropertyInfo>&)",8,"0,84",13,"1,37",0,0,0,0,
"[GDI32.dll]",7,"0,74",7,"0,74",0,0,0,0,
"MS.Internal.FontCache.Util.get_Dpi()",7,"0,74",7,"0,74",0,0,0,0,
"MS.Utility.FrugalStructList`1.get_Item(int32)",7,"0,74",18,"1,89",0,0,0,0,
"System.RuntimeType.RuntimeTypeCache.MemberInfoCache`1.MergeWithGlobalList(!0[])",7,"0,74",16,"1,68",0,0,0,0,
"System.Windows.DependencyObject.GetValueEntry(valuetype System.Windows.EntryIndex,class System.Windows.DependencyProperty,class System.Windows.PropertyMetadata,valuetype System.Windows.RequestFlags)",7,"0,74",21,"2,21",0,0,0,0,
"System.Windows.DependencyProperty.GetMetadata(class System.Windows.DependencyObjectType)",7,"0,74",7,"0,74",0,0,0,0,
"[PROPSYS.dll]",6,"0,63",18,"1,89",0,0,0,0,
"System.Reflection.RuntimeMethodInfo.CacheEquals(object)",6,"0,63",6,"0,63",0,0,0,0,
"[comdlg32.dll]",5,"0,53",99,"10,42",0,0,0,0,
"[WindowsBase.dll]",5,"0,53",436,"45,89",0,0,0,0,
"MS.Win32.HwndSubclass.SubclassWndProc(native int,int32,native int,native int)",5,"0,53",504,"53,05",0,0,0,0,
"System.Collections.Hashtable.ContainsKey(object)",5,"0,53",7,"0,74",0,0,0,0,
"[MSVCR110_CLR0400.dll]",4,"0,42",4,"0,42",0,0,0,0,
"[PresentationCore.dll]",4,"0,42",5,"0,53",0,0,0,0,
"[USER32.dll]",4,"0,42",601,"63,26",0,0,0,0,
"System.Reflection.CustomAttributeData.GetCustomAttributeRecords(class System.Reflection.RuntimeModule,int32)",4,"0,42",4,"0,42",0,0,0,0,
"System.Windows.DependencyObject.GetValue(class System.Windows.DependencyProperty)",4,"0,42",30,"3,16",0,0,0,0,
"System.Windows.DependencyObjectType.IsInstanceOfType(class System.Windows.DependencyObject)",4,"0,42",4,"0,42",0,0,0,0,
"System.Windows.FrameworkElement.AddStyleHandlersToEventRoute(class System.Windows.FrameworkElement,class System.Windows.FrameworkContentElement,class System.Windows.EventRoute,class System.Windows.RoutedEventArgs)",4,"0,42",6,"0,63",0,0,0,0,
"System.Windows.Freezable.GetChangeHandlersAndInvalidateSubProperties(class System.Windows.Freezable/EventStorage&)",4,"0,42",6,"0,63",0,0,0,0,
"System.Windows.RoutedEventArgs.set_Source(object)",4,"0,42",4,"0,42",0,0,0,0,
"[MSCTF.dll]",3,"0,32",4,"0,42",0,0,0,0,
"MS.Internal.Text.TextInterface.Font.DisplayMetrics(float32,float32)",3,"0,32",5,"0,53",0,0,0,0,
"MS.Internal.UIElementHelper.IsUIElementOrUIElement3D(class System.Windows.DependencyObject)",3,"0,32",3,"0,32",0,0,0,0,
"System.Math.InternalRound(float64,int32,valuetype System.MidpointRounding)",3,"0,32",3,"0,32",0,0,0,0,
"System.Reflection.MemberInfo.op_Equality(class System.Reflection.MemberInfo,class System.Reflection.MemberInfo)",3,"0,32",3,"0,32",0,0,0,0,
"System.Windows.EventRoute.Add(object,class System.Delegate,bool)",3,"0,32",4,"0,42",0,0,0,0,
"System.Windows.GlobalEventManager.GetDTypedClassListeners(class System.Windows.DependencyObjectType,class System.Windows.RoutedEvent,class System.Windows.ClassHandlersStore&,int32&)",3,"0,32",7,"0,74",0,0,0,0,
"System.Windows.PropertyMetadata.get_DefaultValue()",3,"0,32",3,"0,32",0,0,0,0,
"System.Windows.Rect.Union(valuetype System.Windows.Rect)",3,"0,32",4,"0,42",0,0,0,0,
"MS.Internal.Text.TextInterface.FontFace.GetArrayOfGlyphIndices(uint32 modopt(System.Runtime.CompilerServices.IsConst)*,uint32,uint16*)",2,"0,21",2,"0,21",0,0,0,0,
"MS.Internal.TextFormatting.TextFormatterImp.RoundDipForDisplayMode(float64,valuetype System.MidpointRounding)",2,"0,21",12,"1,26",0,0,0,0,
"MS.Internal.UIElementHelper.GetUIParent(class System.Windows.DependencyObject,bool)",2,"0,21",5,"0,53",0,0,0,0,
"MS.Utility.ArrayItemList`1.Clear()",2,"0,21",2,"0,21",0,0,0,0,
"MS.Utility.DTypeMap.get_Item(class System.Windows.DependencyObjectType)",2,"0,21",2,"0,21",0,0,0,0,
"MS.Utility.FrugalObjectList`1.get_Item(int32)",2,"0,21",2,"0,21",0,0,0,0,
"MS.Utility.SixItemList`1.EntryAt(int32)",2,"0,21",2,"0,21",0,0,0,0,
"MS.Utility.ThreeObjectMap.Search(int32)",2,"0,21",2,"0,21",0,0,0,0,
"MS.Win32.UnsafeNativeMethods.MsgWaitForMultipleObjectsEx(int32,native int[],int32,int32,int32)",2,"0,21",3,"0,32",0,0,0,0,
"Mufasa.Pages.Design.openFileButton_Click(object,class System.Windows.RoutedEventArgs)",2,"0,21",83,"8,74",217,25,217,58,
"System.Array.BinarySearch(!!0[],int32,int32,!!0,class System.Collections.Generic.IComparer`1<!!0>)",2,"0,21",3,"0,32",0,0,0,0,
"System.Array.Copy(class System.Array,int64,class System.Array,int64,int64)",2,"0,21",2,"0,21",0,0,0,0,
"System.Collections.ArrayList.get_Count()",2,"0,21",2,"0,21",0,0,0,0,
"System.IO.UnmanagedMemoryStream.ReadByte()",2,"0,21",2,"0,21",0,0,0,0,
"System.Nullable`1.get_Value()",2,"0,21",2,"0,21",0,0,0,0,
"System.RuntimeType.GetBaseType()",2,"0,21",2,"0,21",0,0,0,0,
"System.Threading.ExecutionContext.Capture(valuetype System.Threading.StackCrawlMark&,valuetype System.Threading.ExecutionContext/CaptureOptions)",2,"0,21",2,"0,21",0,0,0,0,
"System.Threading.SynchronizationContext.get_Current()",2,"0,21",2,"0,21",0,0,0,0,
"System.Threading.SynchronizationContext.SetSynchronizationContext(class System.Threading.SynchronizationContext)",2,"0,21",2,"0,21",0,0,0,0,
"System.Windows.ClassHandlersStore.GetHandlersIndex(class System.Windows.RoutedEvent)",2,"0,21",2,"0,21",0,0,0,0,
"System.Windows.DependencyObject.get_DependencyObjectType()",2,"0,21",3,"0,32",0,0,0,0,
"System.Windows.DependencyObject.GetEffectiveValue(valuetype System.Windows.EntryIndex,class System.Windows.DependencyProperty,valuetype System.Windows.RequestFlags)",2,"0,21",6,"0,63",0,0,0,0,
"System.Windows.EffectiveValueEntry.EnsureModifiedValue(bool)",2,"0,21",2,"0,21",0,0,0,0,
"System.Windows.EffectiveValueEntry.GetFlattenedEntry(valuetype System.Windows.RequestFlags)",2,"0,21",2,"0,21",0,0,0,0,
