Mark ID,Mark Name,Timestamp,\Procesor(_Total)\Czas procesora (%),
0,"Start of Program","0,00",0,
1,"AutoMark","238,72",0,
2,"AutoMark","1 238,78",18,
3,"AutoMark","2 239,83",5,
4,"AutoMark","3 239,86",6,
5,"AutoMark","3 739,87",11,
6,"AutoMark","4 748,94",20,
7,"AutoMark","5 748,98",8,
8,"AutoMark","6 249,00",14,
9,"AutoMark","7 249,05",16,
10,"AutoMark","8 272,95",9,
11,"AutoMark","9 273,16",10,
12,"AutoMark","10 273,16",12,
13,"AutoMark","10 774,23",8,
14,"AutoMark","11 774,77",8,
15,"AutoMark","12 286,31",6,
16,"AutoMark","12 786,33",1,
17,"AutoMark","13 786,38",3,
18,"AutoMark","14 786,42",28,
19,"AutoMark","15 288,44",12,
20,"AutoMark","16 288,50",3,
21,"AutoMark","17 288,55",5,
22,"AutoMark","17 788,57",7,
23,"AutoMark","18 788,62",4,
24,"AutoMark","19 788,67",2,
25,"AutoMark","20 288,70",6,
26,"AutoMark","20 788,72",0,
27,"AutoMark","21 288,82",4,
28,"AutoMark","22 288,79",7,
29,"AutoMark","23 288,85",3,
30,"AutoMark","24 288,89",7,
31,"AutoMark","25 288,93",12,
32,"AutoMark","25 788,96",4,
33,"AutoMark","26 789,02",0,
34,"AutoMark","27 789,06",2,
35,"AutoMark","28 289,08",7,
36,"AutoMark","29 289,13",5,
37,"AutoMark","30 289,18",11,
38,"AutoMark","31 289,23",6,
39,"AutoMark","31 789,26",0,
40,"AutoMark","32 789,30",10,
41,"AutoMark","33 789,34",14,
42,"AutoMark","34 289,34",9,
43,"AutoMark","35 289,42",13,
44,"AutoMark","36 289,48",13,
45,"AutoMark","36 790,12",28,
46,"AutoMark","37 808,53",18,
47,"AutoMark","38 810,58",31,
48,"AutoMark","39 816,64",11,
49,"AutoMark","40 320,66",12,
50,"AutoMark","41 320,70",7,
51,"AutoMark","42 320,75",4,
52,"AutoMark","42 839,79",6,
53,"AutoMark","43 339,81",9,
54,"AutoMark","44 339,88",7,
55,"AutoMark","45 339,92",9,
4 294 967 295,"End of Program","45 839,94",0,
56,"AutoMark","45 839,94",13,
