Unique Process ID,Process ID,Unique Thread ID,Thread ID,Thread Name,Thread Begin Time,Thread End Time,Thread Start Address,Life Time,
0,6812,1,6628,"_CorExeMain","736,61","44 621,87",1 892 830 683,"43 885,26",
0,6812,2,6792,"[clr.dll]","737,08","44 611,69",1 886 041 188,"43 874,61",
0,6812,5,1792,"Unknown","1 269,15","44 603,46",1 941 681 982,"43 334,31",
0,6812,6,4788,"[ntdll.dll]","3 748,47","44 612,85",2 005 352 069,"40 864,38",
0,6812,7,6348,"[SHLWAPI.dll]","3 758,66","3 810,46",1 968 259 821,"51,80",
0,6812,8,4484,"[ntdll.dll]","3 852,16","44 611,91",2 005 352 069,"40 759,74",
0,6812,9,5572,"[ntdll.dll]","3 792,92","44 612,69",2 005 352 069,"40 819,76",
0,6812,12,5816,"[ntdll.dll]","3 858,20","44 612,02",2 005 352 069,"40 753,82",
0,6812,14,0,"Unnamed thread","0,00","44 612,75",0,"44 612,75",
0,6812,15,4960,"[ntdll.dll]","3 947,78","44 611,83",2 005 352 069,"40 664,04",
0,6812,16,5380,"[FunDisc.dll]","3 951,35","44 612,59",1 855 607 332,"40 661,23",
0,6812,17,4180,"[ntdll.dll]","3 952,34","44 612,92",2 005 352 069,"40 660,58",
0,6812,18,4844,"[ntdll.dll]","3 967,13","44 612,87",2 005 352 069,"40 645,74",
0,6812,20,5452,"[ntdll.dll]","4 995,65","44 612,92",2 005 352 069,"39 617,27",
0,6812,21,5248,"[ntdll.dll]","6 960,38","44 612,75",2 005 352 069,"37 652,37",
0,6812,23,4508,"[clr.dll]","14 969,65","38 509,70",1 886 041 188,"23 540,05",
0,6812,24,6968,"[clr.dll]","15 053,95","44 612,58",1 886 041 188,"29 558,63",
0,6812,25,5480,"[clr.dll]","15 054,16","44 612,90",1 886 041 188,"29 558,74",
0,6812,28,4492,"[ntdll.dll]","24 695,65","44 612,65",2 005 352 069,"19 917,00",
0,6812,36,5256,"[ntdll.dll]","30 800,77","44 611,87",2 005 352 069,"13 811,10",
